Status,GitHub Docs?,File name,Name,Type,Notes,Webpage URL,Raw file on NRP,Metadata links
Done,TRUE,wgfd-pronghorn-crucial.pmtiles,Pronghorn - Crucial Range ,Vector ,,https://wyoming-wgfd.opendata.arcgis.com/datasets/5ce8eaffcd4e47b99a0164bb81881d36_0/explore?location=42.927591%2C-107.675878%2C6,Antelope_Crucial_Range_2840206821211723664.geojson,https://www.arcgis.com/sharing/rest/content/items/5ce8eaffcd4e47b99a0164bb81881d36/info/metadata/metadata.xml?format=default&output=html
Done,TRUE,wgfd-pronghorn-seasonal.pmtiles,Pronghorn - Seasonal Range,Vector ,,https://wyoming-wgfd.opendata.arcgis.com/datasets/5906f933ec1e436eade94996fa64ef2e_0/explore,Antelope_Seasonal_Range_-8613938908718516484.geojson,https://www.arcgis.com/sharing/rest/content/items/5906f933ec1e436eade94996fa64ef2e/info/metadata/metadata.xml?format=default&output=html
Pending,FALSE,,PRIVATE Current conservation easements,Vector ,,https://drive.google.com/drive/folders/1XdntlWqpwSObVAXRtAOH-_J8MmLDX5-b?usp=sharing,,
Done (not hexed),FALSE,iag-cog.tif,RAP 10m cover - invasive annual grass (2025),Raster,,http://rangeland.ntsg.umt.edu/data/rangeland-s2/iag/,iag-2025-10-350000-5200000.tif,https://rangeland.ntsg.umt.edu/data/rangeland-s2/README
Done (not hexed),FALSE,arte-cog.tif,RAP 10m cover - sagebrush (2025),Raster,,http://rangeland.ntsg.umt.edu/data/rangeland-s2/arte/?C=M;O=D,arte-2025-10-350000-5200000.tif,https://rangeland.ntsg.umt.edu/data/rangeland-s2/README
Done (not hexed),TRUE,rap-v3-2025-band4-perennial-forb-grass-wyoming-cog.tif,RAP 30m perennial forbs and grasses biomass (2025),Raster,Band 4 - perennial forb and grass,http://rangeland.ntsg.umt.edu/data/rap/rap-vegetation-cover/v3/,vegetation-cover-v3-2025.tif,https://rangeland.ntsg.umt.edu/data/rap/rap-vegetation-cover/v3/README
Done,TRUE,sage-grouse-priority.pmtiles,Sage grouse priority areas for conservation,Vector,Core Management Areas Version 4,https://wgfd.wyo.gov/wyoming-wildlife/sage-grouse-management/sage-grouse-data,SageGrouseCoreAreasv4.zip,
Done,NA,https://radiantearth.github.io/stac-browser/#/external/s3-west.nrp-nautilus.io/public-data/stac/catalog.json,GAP protected area layers,Vector,“PADUS 4.1 Vector Analysis PADUS Only”,https://www.sciencebase.gov/catalog/item/6759b69fd34edfeb8710a3ea,PADUS4_1VectorAnalysis_PADUS_Only.zip,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Link to STAC: https://radiantearth.github.io/stac-browser/#/external/s3-west.nrp-nautilus.io/public-wyoming/stac-collection.json,,,,,,,,
