fcode,description,canalditchtype,constructionmaterial,hydrographiccategory,inundationcontrolstatus,operationalstatus,pipelinetype,positionalaccuracy,relationshiptosurface,reservoirtype,stage,kcode
57004,Water Quality Station,,,,,,,,,,,"570"
57100,Dam,,,,,,,,,,,"571"
57201,Flow Alteration=Addition,,,,,,,,,,,"572"
57202,Flow Alteration=Removal,,,,,,,,,,,"572"
57300,Hydrologic Unit Outlet,,,,,,,,,,,"573"
57203,Flow Alteration=Unknown,,,,,,,,,,,"572"
45001,"SinkRise: Type = Sink; Flow = Into ground",,,,,,,,,,,"450"
45002,"SinkRise: Type = Rise; Flow = Out of ground",,,,,,,,,,,"450"
45003,"SinkRise: Type = Estevelle; Flow = Bidirectional",,,,,,,,,,,"450"
46800,Drainageway,,,,,,,,,,,"468"
43625,"Reservoir: Reservoir Type = Disposal; Construction Material = Earthen",,Earthen,,,,,,,Disposal,,"436,RET99,COM115"
43626,"Reservoir: Reservoir Type = Disposal; Construction Material = Nonearthen",,Nonearthen,,,,,,,Disposal,,"436,RET99,COM248"
56600,Coastline,,,,,,,,,,,"566"
30700,Area to be Submerged, , , , , , , , , ,,"307"
31200,Bay/Inlet, , , , , , , , , ,,"312"
31800,Bridge, , , , , , , , , ,,"318"
33400,Connector, , , , , , , , , ,,"334"
33600,Canal/Ditch, ,, , , , , , , ,,"336"
33601,Canal/Ditch: Canal/Ditch Type = Aqueduct,Aqueduct,, , , , , , , ,,"336,CDY30"
34300,Dam/Weir, , , , , , , , , ,,"343"
34305,Dam/Weir: Construction Material = Earthen, ,Earthen, , ,, , , , ,,"343,COM115"
34306,Dam/Weir: Construction Material = Nonearthen, ,Nonearthen, , ,, , , , ,,"343,COM248"
36100,Playa, , , , , , , , , ,,"361"
36200,Flume, , , , , , , , , ,,"362"
36400,Foreshore, , , , , , , , , ,,"364"
36700,Gaging Station, , , , , , , , , ,,"367"
36900,Gate, , , , , , , , , ,,"369"
37800,Ice Mass, , , , , , , , , ,,"378"
39000,Lake/Pond, , , , , , , , , ,,"390"
39001,Lake/Pond: Hydrographic Category = Intermittent, , ,Intermittent, , , , , , ,,"390,HYC189"
39004,Lake/Pond: Hydrographic Category = Perennial, , ,Perennial, , , , , , ,,"390,HYC289"
39005,"Lake/Pond: Hydrographic Category = Intermittent; Stage = High Water Elevation", , ,Intermittent, , , , , , ,High Water Elevation,"390,HYC189,STG161"
39006,"Lake/Pond: Hydrographic Category = Intermittent; Stage = Date of Photography", , ,Intermittent, , , , , , ,Date of Photography,"390,HYC189,STG89"
43624,"Reservoir; Reservoir Type = Treatment",,,,,,,,,Treatment,,"436,RET417"
39009,"Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation", , ,Perennial, , , , , , ,Average water Elevation,"390,HYC289,STG33"
39010,"Lake/Pond: Hydrographic Category = Perennial; Stage = Normal Pool", , ,Perennial, , , , , , ,Normal Pool,"390,HYC289,STG253"
39011,"Lake/Pond: Hydrographic Category = Perennial; Stage = Date of Photography", , ,Perennial, , , , , , ,Date of Photography,"390,HYC289,STG89"
39012,"Lake/Pond: Hydrographic Category = Perennial; Stage = Spillway Elevation", , ,Perennial, , , , , , ,Spillway Elevation,"390,HYC289,STG378"
39800,Lock Chamber, , , , , , , , , ,,"398"
40300,Inundation Area, , , , , , , , , ,,"403"
40307,Inundation Area: Inundation Control Status = Not Controlled, , , ,Not Controlled, , , , , ,,"403,ICS259"
40308,Inundation Area: Inundation Control Status = Controlled, , , ,Controlled, , , , , ,,"403,ICS75"
40309,"Inundation Area: Inundation Control Status = Controlled; Stage = Flood Elevation", , , ,Controlled, , , , , ,Flood Elevation,"403,ICS75,STG136"
41100,Nonearthen Shore, , , , , , , , , ,,"411"
42800,Pipeline, , , , , , , , , ,,"428"
42801,"Pipeline: Pipeline Type = Aqueduct; Relationship to Surface = At or Near", , , , , ,Aqueduct, ,At or Near, ,,"428,PIT30,RTS32"
42802,"Pipeline: Pipeline Type = Aqueduct; Relationship to Surface = Elevated", , , , , ,Aqueduct, ,Elevated, ,,"428,PIT30,RTS120"
42803,"Pipeline: Pipeline Type = Aqueduct; Relationship to Surface = Underground", , , , , ,Aqueduct, ,Underground, ,,"428,PIT30,RTS423"
42804,"Pipeline: Pipeline Type = Aqueduct; Relationship to Surface = Underwater", , , , , ,Aqueduct, ,Underwater, ,,"428,PIT30,RTS424"
42805,"Pipeline: Pipeline Type = General Case; Relationship to Surface = At or Near", , , , , ,General Case, ,At or Near, ,,"428,PIT145,RTS32"
42806,"Pipeline: Pipeline Type = General Case; Relationship to Surface = Elevated", , , , , ,General Case, ,Elevated, ,,"428,PIT145,RTS120"
42807,"Pipeline: Pipeline Type = General Case; Relationship to Surface = Underground", , , , , ,General Case, ,Underground, ,,"428,PIT145,RTS423"
42808,"Pipeline: Pipeline Type = General Case; Relationship to Surface = Underwater", , , , , ,General Case, ,Underwater, ,,"428,PIT145,RTS424"
